What is your age group?,What is your gender?,How would you describe your typical diet?,"How often do you consume foods high in fiber (e.g., fruits, vegetables, rice)?","Do you include fermented foods in your diet? (e.g., yogurt, buttermilk, lassi, etc)","On average, how many liters of water do you consume per day?",How often do you consume alcoholic beverages?,"Do you engage in regular physical exercise? (e.g., walking, running, workout)",How would you describe your sleep patterns?,How would you rate your stress levels on a daily basis?,How often do you consume allopathic medicines?,How often do you have a bowel movement (passing stool) in a typical week?,How would you describe the consistency of your stool most of the time?,"How often do you experience digestive discomfort (e.g., bloating, gas, indigestion)?"
0,1,2,1,0,1,1,0,1,2,2,2,2,2
0,0,1,2,0,1,1,1,0,0,2,2,2,2
0,1,0,0,1,1,0,1,1,2,0,2,2,1
0,1,0,0,1,2,1,2,1,2,2,1,2,2
0,1,0,1,2,2,1,2,1,2,2,1,2,2
0,0,0,1,2,1,1,2,1,2,2,2,2,2
0,1,0,1,2,2,1,1,1,2,2,0,0,0
0,1,0,0,1,0,1,2,1,2,1,2,0,1
0,1,0,0,2,1,0,2,1,2,1,2,2,1
2,0,0,1,1,1,1,1,1,2,1,0,2,1
0,0,0,1,1,1,1,1,0,2,2,2,2,1
0,1,0,0,2,1,1,2,1,2,2,2,2,1
0,1,0,1,2,1,1,2,0,1,2,1,2,1
0,1,2,1,1,2,1,2,1,1,2,0,2,2
0,1,0,1,2,1,1,0,0,2,2,2,2,0
0,1,0,0,1,1,1,0,0,2,1,1,2,1
0,1,0,1,1,1,1,2,1,2,2,2,2,2
0,1,0,1,2,1,1,2,1,2,2,0,2,1
0,1,0,0,2,1,1,2,1,2,2,2,2,2
0,1,0,0,1,1,1,1,1,1,2,1,0,2
0,1,0,1,1,1,1,1,1,2,2,2,2,2
0,1,1,2,1,1,2,0,1,1,0,1,0,2
0,1,2,1,2,1,1,2,1,2,2,1,2,2
0,1,0,0,1,1,1,0,0,1,2,2,2,1
0,1,2,1,1,1,1,0,1,1,2,2,2,2
0,1,1,0,1,1,1,1,1,2,1,2,2,1
0,1,0,0,1,1,1,1,0,2,0,2,2,2
0,1,0,1,2,1,1,2,1,2,2,2,2,1
0,0,0,1,2,1,1,1,1,2,2,2,0,1
0,0,0,0,2,1,1,1,1,2,2,2,2,2
0,0,0,1,1,1,1,1,1,2,2,2,2,2
0,0,0,1,1,0,1,1,1,2,2,2,2,1
0,0,2,1,2,1,1,1,0,2,1,2,2,1
0,0,2,1,2,1,1,1,0,2,0,2,2,1
0,1,0,0,0,0,1,2,1,2,2,2,2,1
0,0,0,0,2,1,1,1,1,2,2,2,2,2
0,1,0,1,2,2,0,1,0,2,2,1,2,2
0,1,0,1,2,2,1,2,0,2,1,0,0,0
0,0,2,1,1,1,1,0,1,2,1,2,2,2
0,1,0,1,0,1,1,1,1,2,2,2,2,1
0,1,1,0,2,1,1,1,1,2,1,0,2,0
0,0,0,1,1,0,1,1,1,2,2,2,2,1
0,0,0,1,2,0,1,0,1,2,2,1,2,0
0,0,0,1,2,1,1,1,1,2,1,2,2,1
0,1,0,0,2,1,0,2,1,2,1,0,1,1
0,1,2,1,1,1,0,2,1,0,1,2,2,0
0,0,0,1,0,1,0,1,1,2,2,2,2,2
0,1,0,1,2,2,1,2,0,1,2,2,2,2
0,0,0,0,1,1,1,0,0,2,2,2,2,2
0,0,1,0,2,1,1,0,1,2,2,2,2,1
0,0,0,0,2,2,1,1,0,2,2,2,2,2
0,1,2,0,2,1,1,1,0,2,2,2,2,2
0,0,2,1,2,2,1,2,0,1,2,2,2,2
0,1,2,1,2,1,1,2,0,2,2,2,2,2
0,0,2,0,2,1,1,1,0,2,2,2,2,0
0,0,2,0,0,1,1,1,1,2,2,1,2,1
0,1,0,0,1,1,1,2,1,0,0,2,2,2
0,0,0,1,1,1,1,0,0,2,2,2,0,1
0,1,1,0,2,2,1,2,1,2,2,0,2,2
0,0,0,0,1,1,1,0,1,0,2,2,2,1
0,1,0,0,1,1,1,0,1,1,2,2,2,1
0,0,2,1,1,1,1,2,1,2,1,2,2,2
0,1,0,1,1,1,1,0,0,2,2,2,0,2
0,0,2,0,1,1,1,1,1,2,2,2,2,2
0,0,0,1,1,1,1,1,0,1,1,2,2,0
0,1,0,0,2,1,0,1,1,1,2,2,2,2
2,1,1,1,2,2,2,0,1,0,0,0,1,0
2,1,1,1,2,2,2,0,1,0,0,0,1,0
2,1,1,1,2,2,2,0,1,0,0,0,1,0
0,0,0,1,1,1,1,1,1,0,1,2,2,0
0,0,2,0,1,1,0,1,1,2,0,2,2,1
0,1,2,1,0,1,1,0,1,2,2,2,2,2
0,0,1,2,0,1,1,1,0,0,2,2,2,2
0,1,0,0,1,1,0,1,1,2,0,2,2,1
0,1,0,0,1,2,1,2,1,2,2,1,2,2
0,1,0,1,2,2,1,2,1,2,2,1,2,2
0,0,0,1,2,1,1,2,1,2,2,2,2,2
0,1,0,1,2,2,1,1,1,2,2,0,0,0
0,1,0,0,1,0,1,2,1,2,1,2,0,1
0,1,0,0,2,1,0,2,1,2,1,2,2,1
2,0,0,1,1,1,1,1,1,2,1,0,2,1
0,0,0,1,1,1,1,1,0,2,2,2,2,1
0,1,0,0,2,1,1,2,1,2,2,2,2,1
0,1,0,1,2,1,1,2,0,1,2,1,2,1
0,1,2,1,1,2,1,2,1,1,2,0,2,2
0,1,0,1,2,1,1,0,0,2,2,2,2,0
0,1,0,0,1,1,1,0,0,2,1,1,2,1
0,1,0,1,1,1,1,2,1,2,2,2,2,2
0,1,0,1,2,1,1,2,1,2,2,0,2,1
0,1,0,0,2,1,1,2,1,2,2,2,2,2
0,1,0,0,1,1,1,1,1,1,2,1,0,2
0,1,0,1,1,1,1,1,1,2,2,2,2,2
0,1,1,2,1,1,2,0,1,1,0,1,0,2
0,1,2,1,2,1,1,2,1,2,2,1,2,2
0,1,0,0,1,1,1,0,0,1,2,2,2,1
0,1,2,1,1,1,1,0,1,1,2,2,2,2
0,1,1,0,1,1,1,1,1,2,1,2,2,1
0,1,0,0,1,1,1,1,0,2,0,2,2,2
0,0,0,1,2,0,1,0,1,2,2,0,2,1
0,0,2,1,1,1,1,1,1,2,2,2,2,2
1,1,1,0,1,0,2,2,0,1,2,2,2,2
0,1,0,0,1,1,0,2,1,2,2,2,2,1
0,1,2,1,1,1,0,2,0,2,2,1,1,2
0,0,2,1,1,1,1,2,1,2,2,2,2,2
0,1,0,0,1,0,1,1,0,0,0,2,2,2
0,0,0,0,1,0,1,2,1,2,2,2,0,1
2,1,2,1,2,2,1,1,0,2,1,1,2,2
0,0,0,0,1,1,0,1,0,2,2,2,2,1
